"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-mir-382",82.5525557684272,-0.449415964142947,0.131014541253113,0.000545602829624491,0.000779432613749273
"hsa-mir-383",6.42464780808971,-1.10496151356692,0.333164414540425,3.0700452915857e-07,5.77757600999523e-07
"hsa-mir-3909",1.35407378361247,0.247608826307538,0.184187685850808,0.171257728286918,0.19495857461234
"hsa-mir-3912",1.76803707732531,0.327738741671621,0.158557766476124,0.0384021599304759,0.0463004765119213
"hsa-mir-3913-1",4.08729046302611,0.506954810890542,0.12539727866368,4.96415067228953e-05,7.76600258548361e-05
"hsa-mir-3913-2",4.15888390556363,0.507965423527321,0.12787023162612,5.63752866205977e-05,8.76566956600758e-05
"hsa-mir-3917",3.52954801946492,0.793100770203411,0.168331642402124,2.00820596551632e-06,3.54389288032292e-06
"hsa-mir-3922",1.66003829750115,1.21228236488291,0.194314547484705,3.19408415467695e-10,7.50683372758177e-10
"hsa-mir-3926-1",2.19577705108863,-0.91927016585654,0.170237533669766,5.3181993467386e-08,1.04721299877864e-07
"hsa-mir-3926-2",3.03418713847738,-0.839526706777036,0.140264103841074,1.91337917370934e-09,4.17018537859728e-09
"hsa-mir-3928",6.03287290418327,1.02366317304936,0.149366684036583,3.17200798215417e-12,8.3819900046561e-12
"hsa-mir-3934",4.74983628260522,1.09629640437207,0.152968089172559,4.40812454982849e-13,1.2152127137365e-12
"hsa-mir-3940",3.35104123729962,1.3968746838769,0.187141835708066,4.53576411182613e-14,1.29957286350074e-13
"hsa-mir-3941",1.32589868773679,0.561303622724952,0.22334772765659,0.00908505709137014,0.0116709801425662
"hsa-mir-409",116.59934214981,-0.430947483759369,0.117964577506757,0.000236708152210934,0.000344917593221647
"hsa-mir-410",31.3310272406068,-0.137345561516783,0.164071357220435,0.00139413815684801,0.00194265153003411
"hsa-mir-411",23.1957296252976,-0.712276457860349,0.13742299640866,6.76994685421904e-12,1.7526258353562e-11
"hsa-mir-412",17.5944093423366,-0.697949543145295,0.191775829974037,0.000215299411984191,0.000314620917226181
"hsa-mir-421",7.79443634389372,1.2423532635082,0.129280036138566,3.99707080609842e-22,1.657322041553e-21
"hsa-mir-423",443.708275426697,0.326619808766569,0.0772783092816655,2.23628075588456e-05,3.57524509561481e-05
"hsa-mir-424",457.148066430002,0.248185794016954,0.136333205381349,0.066404826335218,0.078576476637961
"hsa-mir-425",952.84231742869,0.677361524408254,0.12445665220946,4.11089571525595e-08,8.22179143051191e-08
"hsa-mir-429",279.119999508281,2.67215119236271,0.152241858892031,5.66107998035623e-70,1.69832399410687e-68
"hsa-mir-431",38.6781068222038,-0.21520572910856,0.143087665601377,1.61644337715437e-11,4.04110844288593e-11
"hsa-mir-432",29.0596350155513,-0.735932666377674,0.176910156767954,2.4961694320265e-05,3.96587666770566e-05
"hsa-mir-4326",16.2859164337084,1.68045524849708,0.208884412636364,1.53911811336588e-16,4.93679394853207e-16
"hsa-mir-433",5.36437181298436,-1.05257815036566,0.191509601787084,2.67938067171705e-08,5.40112309318457e-08
"hsa-mir-4444-2",1.69442427702491,1.24959239309541,0.204093843805908,4.23140137698273e-10,9.76477240842168e-10
"hsa-mir-4449",1.70255593116487,1.77766702427781,0.256476101782726,2.70494820056728e-07,5.18617888078689e-07
"hsa-mir-4461",1.9337558808854,0.304089331431056,0.220042228770485,0.150975575816477,0.173417891140547
"hsa-mir-4473",1.64812764493724,1.07137829215653,0.232793851926425,1.40194644535633e-06,2.49126371822901e-06
"hsa-mir-4491",1.63211311610753,-0.80889130201224,0.220288807470544,0.000161799261237902,0.000241279600091609
"hsa-mir-449a",5.26610805338787,4.56181353007857,0.476970443909279,1.55750305299369e-14,4.59148298859412e-14
"hsa-mir-449b",1.47022898337781,3.50762029062685,0.633058227616344,1.2723153037395e-06,2.28479156657445e-06
"hsa-mir-4501",2.00717593330487,3.55542528842495,0.461084876079635,2.48253154365995e-17,8.38470918719587e-17
"hsa-mir-450a-1",14.9239264257602,0.159502575346207,0.129963647376623,0.218002993622563,0.243819137604183
"hsa-mir-450a-2",14.564037358681,0.156995085173637,0.127067585601909,0.215355127166466,0.24138706561516
"hsa-mir-450b",50.7596106359911,0.361700586134483,0.130001318966363,0.0052180701794602,0.00692903705911613
